clast_ID,x,y,Ellipse_major_axis,Ellipse_minor_axis,Clast_length,Clast_width,Surface_area,Score,Orientation
8391.00000,558274.58252,6981582.00663,0.05207,0.03835,0.05025,0.03834,0.00178,0.63652,23.29921
8392.00000,558274.34804,6981582.41089,0.06773,0.04197,0.06637,0.04092,0.00250,0.62063,95.86304
8393.00000,558274.93152,6981582.39268,0.04115,0.03147,0.03939,0.02954,0.00120,0.58677,153.51901
8394.00000,558274.68074,6981581.86779,0.06783,0.04958,0.06407,0.04805,0.00293,0.57345,148.68024
8395.00000,558274.75685,6981581.99553,0.07096,0.04322,0.06906,0.04147,0.00269,0.54971,108.64698
8396.00000,558274.53063,6981581.88181,0.05657,0.03614,0.05742,0.03534,0.00186,0.54354,175.21431
8397.00000,558274.42046,6981582.32306,0.05467,0.04450,0.05301,0.04351,0.00217,0.53320,175.17048
8398.00000,558275.23065,6981581.77524,0.05993,0.04103,0.05982,0.04187,0.00221,0.99648,155.50379
8399.00000,558275.75552,6981582.32849,0.06720,0.03245,0.06345,0.03166,0.00198,0.99639,23.75934
8400.00000,558275.42112,6981581.89456,0.09042,0.05625,0.08541,0.05394,0.00436,0.98744,101.69240
8401.00000,558275.77875,6981581.81709,0.05531,0.03871,0.05129,0.03680,0.00190,0.94918,116.23394
8402.00000,558275.48254,6981581.91375,0.04243,0.03173,0.04094,0.03120,0.00126,0.94856,14.61427
8403.00000,558275.84431,6981581.76104,0.08056,0.04997,0.07954,0.04869,0.00349,0.93362,85.00366
8404.00000,558275.90810,6981581.94368,0.05609,0.04291,0.05766,0.04416,0.00215,0.92582,7.05594
8405.00000,558275.13700,6981582.48668,0.05175,0.04453,0.04995,0.04329,0.00203,0.90056,155.82716
8406.00000,558275.58211,6981581.75497,0.05817,0.03159,0.05540,0.02776,0.00169,0.89950,162.04638
8407.00000,558275.31202,6981581.84696,0.06323,0.03003,0.05956,0.03082,0.00174,0.88738,178.53706
8408.00000,558275.24241,6981582.42425,0.06194,0.03375,0.05878,0.03096,0.00188,0.84515,5.17678
8409.00000,558275.70334,6981582.20373,0.05399,0.02624,0.05249,0.02542,0.00134,0.78514,112.70728
8410.00000,558275.86401,6981582.53557,0.09640,0.03408,0.08924,0.03083,0.00293,0.75973,1.91429
8411.00000,558275.21571,6981582.22071,0.05042,0.02771,0.04871,0.02657,0.00132,0.74115,6.24815
8412.00000,558275.49933,6981582.36354,0.05859,0.04467,0.05917,0.04775,0.00229,0.69791,26.78587
8413.00000,558275.74967,6981581.88922,0.06720,0.05303,0.06739,0.05505,0.00308,0.66215,17.16008
8414.00000,558275.83404,6981582.12697,0.04652,0.03979,0.04583,0.03928,0.00169,0.65031,63.03617
8415.00000,558275.63087,6981582.17516,0.04516,0.03483,0.04400,0.03313,0.00145,0.58511,165.85716
8416.00000,558275.47159,6981582.04982,0.04068,0.02634,0.04032,0.02688,0.00103,0.57864,10.68615
8417.00000,558275.38893,6981582.04422,0.05344,0.02774,0.04772,0.02538,0.00134,0.56941,123.88034
8418.00000,558275.69839,6981581.77149,0.08055,0.05396,0.07789,0.05200,0.00376,0.52397,151.71573
8419.00000,558250.43688,6981581.28951,0.08801,0.06585,0.08434,0.06658,0.00496,0.99729,7.40019
8420.00000,558250.14187,6981581.53562,0.08213,0.05140,0.08111,0.05323,0.00362,0.99101,7.10925
8421.00000,558250.86654,6981580.90522,0.09135,0.06422,0.08719,0.06184,0.00500,0.98815,133.19843
8422.00000,558250.99588,6981581.52232,0.06749,0.06456,0.06836,0.06583,0.00372,0.98591,159.41091
8423.00000,558250.24054,6981580.70115,0.07648,0.05424,0.07425,0.05520,0.00358,0.98516,70.55698
8424.00000,558250.90652,6981581.39396,0.04950,0.03786,0.04671,0.03507,0.00169,0.98273,136.78361
8425.00000,558250.29943,6981580.76596,0.07378,0.04211,0.07025,0.04057,0.00275,0.94637,40.84150
8426.00000,558250.61041,6981580.73128,0.07151,0.04572,0.06917,0.04611,0.00285,0.94039,25.90160
